combo,k,w,f23,f24,d
all+bayesian,2,mean,506.28224341872084,727.2378533407009,-4.723695279129629
split_ball_id_fr+all+bayesian+depthwise,4,mean,517.5262661129998,724.2669582360973,-7.694590383733271
split_ball_id_fr+l2_1+bayesian,3,mean,523.1982193607543,723.9755393540381,-7.986009265792404
split_ball_id_fr+all+l2_1,3,mean,522.7793047886564,722.78876766243,-9.172780957400505
split_ball_id_fr+l2_1+depthwise,3,mean,516.3835868794541,721.8082546905813,-10.15329392924923
split_ball_id_fr+bayesian+depthwise,3,mean,518.4901658010665,719.6044624917963,-12.357086128034211
split_ball_id_fr+all+depthwise,3,mean,518.1942963219832,718.3007953938003,-13.660753226030238
split_ball_id_fr+all+bayesian,3,mean,522.6210607281234,717.0698083699411,-14.89174024988938
all+l2_1+ordinal_numeric_+depthwise,4,mean,507.35252534629404,716.5050380815608,-15.456510538269754
l2_1+ordinal_numeric_+bayesian+depthwise,4,mean,506.7856642274937,716.1106176285625,-15.850930991268001
all+l2_1+ordinal_numeric_+bayesian,4,mean,511.4949127429602,716.030358656461,-15.931189963369548
all+l2_1+bayesian+baseline,4,mean,508.6138875883939,714.8178716803733,-17.143676939457237
l2_1+bayesian+baseline+depthwise,4,mean,503.02983779971777,713.9948269506368,-17.966721669193703
all+l2_1+baseline+depthwise,4,mean,503.3050041762799,713.9471952421039,-18.014353377726593
split_ball_id_fr+l2_1,2,mean,526.5819383041493,713.6140900523391,-18.347458567491458
all+ordinal_numeric_+bayesian+depthwise,4,mean,508.29484098483533,712.7111509195428,-19.25039770028775
all+bayesian+baseline+depthwise,4,mean,505.58356331168454,711.9935960734347,-19.96795254639585
split_ball_id_fr+bayesian,2,mean,528.0226506285568,709.0563491447543,-22.905199475076188
l2_1+ordinal_numeric_+bayesian,3,mean,509.8826202680873,707.5828207324886,-24.378727887341938
all+l2_1+ordinal_numeric_,3,mean,509.83850706433077,707.2166854567907,-24.74486316303978
split_ball_id_fr+depthwise,2,mean,519.754281647411,707.1320082203791,-24.82954039945139
l2_1+ordinal_numeric_+depthwise,3,mean,503.2459046924731,706.318861507027,-25.642687112803515
l2_1+bayesian+baseline,3,mean,505.77786079732954,705.6401882559626,-26.32136036386794
all+l2_1+baseline,3,mean,505.21385833806056,704.489592204216,-27.4719564156145
split_ball_id_fr+all,2,mean,525.003844010008,703.7601641150526,-28.201384504777934
split_ball_id_fr+l2_1+ordinal_numeric_+bayesian,4,mean,521.231541416578,703.3705144330438,-28.591034186786715
ordinal_numeric_+bayesian+depthwise,3,mean,505.74456541429004,703.2821006496492,-28.679447970181286
split_ball_id_fr+all+l2_1+ordinal_numeric_,4,mean,521.3331393761566,703.0092767911889,-28.952271828641642
