k,combo,f23,f24,off24
4,split_ball_no_+id_frequency__+split_ball_rat+split_ball_rat,510.8502562278461,821.9524576462467,-0.014275573117599638
5,split_ball_id_+split_ball_no_+split_ball_id_+split_ball_rat+split_ball_rat,519.2434179684069,821.5355694459303,-0.014564841756289998
5,split_ball_no_+interact+bayesian+split_ball_rat+split_ball_rat,515.9143036231884,821.1251904218342,-0.014949015156374312
2,id_frequency__+split_ball_rat,527.068914035822,820.7603083080439,-0.01430824375384765
4,split_ball_id_+split_ball_no_+mtend+split_ball_rat,523.1175180675285,820.5750454685856,-0.01487599908747178
5,split_ball_id_+split_ball_no_+id_frequency__+split_ball_rat+split_ball_rat,523.5093147748726,820.3995116818575,-0.014486673324398514
4,split_ball_id_+bayesian+split_ball_rat+split_ball_rat,525.8831951369114,819.9957631026878,-0.014951474603259601
5,split_ball_no_+id_frequency__+split_ball_rat+split_ball_id_+split_ball_rat,520.1300101443595,819.9587801766328,-0.014611008905475703
5,split_ball_id_+split_ball_no_+id_frequency__+split_ball_rat+split_ball_rat,522.7442247159763,819.8479580140971,-0.01454559132830796
5,split_ball_id_+interact+split_ball_rat+split_ball_rat+split_ball_rat,520.1384699350275,819.8218089715658,-0.014473354110303621
5,split_ball_no_+id_frequency__+split_ball_id_+split_ball_rat+split_ball_rat,519.3724851738413,819.4163074671911,-0.014669948717162262
5,interact+split_ball_rat+split_ball_id_+split_ball_rat+split_ball_rat,516.6310786240081,819.3847694439648,-0.014597716281449125
4,split_ball_id_+bayesian+split_ball_rat+split_ball_rat,525.0086471668025,819.3152228261557,-0.015025198528046013
4,split_ball_no_+interact+id_frequency__+split_ball_rat,524.0192639145102,819.2942629272615,-0.014717807534025601
4,split_ball_no_+mtend+split_ball_id_+split_ball_rat,518.4092191894307,818.3826044197762,-0.015025174611885184
5,split_ball_no_+bayesian+split_ball_rat+mtend+split_ball_rat,513.9695849404768,818.0177499392149,-0.015172768745066567
4,bayesian+split_ball_rat+split_ball_id_+split_ball_rat,521.1616038674482,817.7212698950442,-0.015100413483085134
5,split_ball_id_+split_ball_rat+mtend+split_ball_rat+split_ball_rat,518.1943481729401,817.6572698366025,-0.014700960688418085
3,split_ball_id_+split_ball_no_+split_ball_rat,518.0014651983922,817.656002968925,-0.0145960359365635
5,interact+id_frequency__+split_ball_rat+split_ball_rat+split_ball_rat,519.7440091652572,817.0668104807377,-0.014576101598948232
4,bayesian+split_ball_id_+split_ball_rat+split_ball_rat,520.2991336145102,817.0563822587851,-0.015174172043471296
4,interact+split_ball_rat+mtend+split_ball_rat,517.9127195134248,816.7345733126385,-0.014912655704185013
3,split_ball_id_+split_ball_no_+split_ball_rat,516.6857845694817,816.6701303216616,-0.01469395598939921
4,split_ball_no_+id_frequency__+mtend+split_ball_rat,521.6362083253712,816.4136148072765,-0.01500142657368489
5,split_ball_rat+mtend+split_ball_id_+split_ball_rat+split_ball_rat,514.6094880869034,816.3785258862189,-0.014822112820128686
3,split_ball_no_+split_ball_rat+split_ball_id_,512.2913451993005,816.2439742926963,-0.01480071042560252
4,interact+mtend+split_ball_rat+split_ball_rat,516.924024087928,816.0275247861559,-0.014986323175540606
4,bayesian+id_frequency__+split_ball_rat+split_ball_rat,524.5235902806678,815.9921085231003,-0.015077599783152734
4,bayesian+id_frequency__+split_ball_rat+split_ball_rat,523.6197604017723,815.308460127806,-0.01515131620021079
3,split_ball_no_+split_ball_id_+split_ball_rat,510.99635191972357,815.2843886043204,-0.014898691357992738
5,split_ball_id_+split_ball_no_+bayesian+split_ball_rat+split_ball_rat,520.2490930443781,815.0959092301124,-0.015157561983841689
5,id_frequency__+split_ball_rat+mtend+split_ball_rat+split_ball_rat,517.526384879996,814.631285303835,-0.014802550793617447
4,split_ball_id_+split_ball_no_+split_ball_id_+split_ball_rat,525.3412382633549,814.1542469758178,-0.015003645913845981
3,interact+bayesian+split_ball_rat,521.0098431047916,814.1311557757214,-0.015398354103374506
5,split_ball_no_+bayesian+split_ball_rat+split_ball_id_+split_ball_rat,516.6196817344204,813.5375753267172,-0.01527762121366319
3,split_ball_no_+id_frequency__+split_ball_rat,517.8409805801865,813.5319723564182,-0.0147689764811203
5,split_ball_no_+interact+bayesian+mtend+split_ball_rat,520.1371510284769,813.3341844177244,-0.015517016664241934
2,split_ball_no_+interact,516.4299564817121,813.1202682191363,-0.015109265568613972
5,split_ball_no_+interact+split_ball_rat+mtend+split_ball_rat,514.3387756939787,812.8801511280259,-0.01512816598946981
3,split_ball_no_+id_frequency__+split_ball_rat,516.4717574674071,812.5384732789897,-0.014866881107179541
4,split_ball_no_+interact+bayesian+split_ball_rat,519.7052009082936,812.3902319330467,-0.015479285942647913
5,split_ball_id_+split_ball_rat+split_ball_id_+split_ball_rat+split_ball_rat,519.8658210222029,812.3890998590455,-0.014802532192217582
5,split_ball_no_+bayesian+id_frequency__+split_ball_rat+split_ball_rat,519.5696973726239,812.155469864384,-0.015259500368257822
4,split_ball_id_+split_ball_no_+id_frequency__+split_ball_rat,529.514295159883,812.0873798064476,-0.014979793368106481
4,split_ball_id_+interact+split_ball_rat+split_ball_rat,525.8367331071878,812.0485841808911,-0.014889774852932747
3,interact+split_ball_rat+split_ball_rat,511.6378393691057,811.8943654641608,-0.014744250292462818
4,split_ball_no_+interact+bayesian+split_ball_rat,518.629882324051,811.4862161627378,-0.015552210057229482
4,split_ball_no_+id_frequency__+split_ball_id_+split_ball_rat,525.1663034385178,811.3180358950812,-0.015134371023976939
4,split_ball_id_+interact+split_ball_rat+split_ball_rat,524.9147990820658,811.3125599411796,-0.01496333109226411
4,interact+split_ball_rat+split_ball_id_+split_ball_rat,521.2789172699073,811.2712794171473,-0.015044359401946983
5,split_ball_id_+split_ball_no_+interact+bayesian+split_ball_rat,527.455748101835,811.1052959957732,-0.015504739324252559
5,split_ball_id_+id_frequency__+split_ball_rat+split_ball_rat+split_ball_rat,523.3907629766055,810.5785943880006,-0.014782901717951324
4,interact+split_ball_id_+split_ball_rat+split_ball_rat,520.3691628832274,810.5501147644634,-0.015117950349400305
5,id_frequency__+split_ball_rat+split_ball_id_+split_ball_rat+split_ball_rat,520.0371723523278,810.2130525105,-0.014907514414748857
5,split_ball_no_+interact+bayesian+split_ball_id_+split_ball_rat,523.5420873450414,809.4405279737371,-0.01562437183061302
4,split_ball_id_+split_ball_rat+mtend+split_ball_rat,523.5176502218719,809.2514205864321,-0.015173742340630542
5,split_ball_id_+split_ball_no_+interact+split_ball_rat+split_ball_rat,520.2170462418887,808.7747300185245,-0.015108450208001917
4,split_ball_id_+mtend+split_ball_rat+split_ball_rat,522.725805814761,808.6432691825629,-0.01524774921919006
3,bayesian+mtend+split_ball_rat,518.3414108704487,808.3971424034053,-0.015768904708660852
4,interact+id_frequency__+split_ball_rat+split_ball_rat,524.853405853909,808.2240993161349,-0.015016813236885779
5,split_ball_no_+interact+split_ball_rat+split_ball_id_+split_ball_rat,516.6939109320201,808.1708444136359,-0.015232121075048621
5,split_ball_id_+split_ball_no_+bayesian+mtend+split_ball_rat,525.703973472258,808.1642036150582,-0.01572890309794364
4,split_ball_no_+bayesian+split_ball_rat+mtend,517.3850892044585,808.1406819299697,-0.015757250807093198
3,split_ball_rat+mtend+split_ball_rat,508.48656999203934,807.7656871241512,-0.015121368303888771
5,split_ball_no_+interact+bayesian+id_frequency__+split_ball_rat,525.9392343385905,807.5727086720774,-0.015604409217020887
2,split_ball_no_+mtend,513.6608979057211,807.5234129469422,-0.015676949919825656
4,interact+id_frequency__+split_ball_rat+split_ball_rat,523.9020788202597,807.4853441062513,-0.015090361707017996
4,split_ball_no_+bayesian+mtend+split_ball_rat,516.4403515227623,807.3648607996641,-0.015830626050610308
4,split_ball_rat+mtend+split_ball_id_+split_ball_rat,518.8405297687493,807.1690300202828,-0.015323317500954864
4,mtend+split_ball_id_+split_ball_rat+split_ball_rat,518.0604515334086,806.5759521174276,-0.015397358736871786
3,split_ball_id_+bayesian+split_ball_rat,531.3166261641022,806.4369426530216,-0.01575515313658732
5,split_ball_id_+split_ball_no_+split_ball_rat+mtend+split_ball_rat,518.2887900068044,806.4191986304037,-0.015334985994284567
5,split_ball_no_+interact+id_frequency__+split_ball_rat+split_ball_rat,519.7806343814837,805.9492800285506,-0.015210973731987265
2,bayesian+split_ball_rat,518.5038512177109,805.8693800834905,-0.01582646579464092
5,split_ball_no_+bayesian+mtend+split_ball_id_+split_ball_rat,521.7142913126693,805.673511503846,-0.015845339194692554
