k,combo,f23,f24,off24,m
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,565.8182497903397,944.3642680604047,-0.006884862651846291,565.8182497903397
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,569.2603530920826,955.1974112882,-0.005509467813644947,569.2603530920826
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,561.1608672069335,926.8356169113034,-0.008622501846565489,561.1608672069335
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_rate_mu,590.0480455038215,929.3083341908037,-0.008610688360752405,590.0480455038215
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,573.1643053995872,954.6751578518808,-0.005337660919627174,573.1643053995872
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,571.3605583219761,960.6157196094367,-0.003946147531568439,571.3605583219761
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,564.0310193232411,940.832691135185,-0.007088029479984853,564.0310193232411
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_rate_mu,589.0487877193817,943.219301654763,-0.007074195651811721,589.0487877193817
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,567.0102117142694,944.1952923739283,-0.006482150475751014,567.0102117142694
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,558.8044532948367,911.1746407337806,-0.009578384068055834,558.8044532948367
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_rate_mu,587.4641682909964,913.5899418344362,-0.009567485438080642,587.4641682909964
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_drop_20,556.9526943235869,927.0906485642105,-0.008220433520221199,556.9526943235869
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_rate_mu,585.6974381245105,929.5578395380533,-0.008208401376833596,585.6974381245105
4,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20+split_ball_rate_mu,578.9415818199473,887.6996604359366,-0.011276562305779364,578.9415818199473
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,574.767643305707,962.2684903316858,-0.005221499136097263,574.767643305707
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,560.7687285407059,938.3622198669284,-0.007732866189852916,560.7687285407059
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,571.023108581159,952.7858799131761,-0.006369666761530168,571.023108581159
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,563.0770829075815,918.8687759195458,-0.009463288070332254,563.0770829075815
4,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,591.7720148398087,921.4482918211697,-0.009453105256400723,591.7720148398087
