axis,axis_title,lam,fit,eval,scope,n_bins,bss,delta,bss_self,best_solo,best_solo_name,vs_solo,w
a13_tens,A13 이닝 x 점수차,0.5,2022,2024,all,9,872.2532069635802,1.7728897539370791,906.2824200667841,820.9547937182093,cw_v17_base,51.29841324537085,
a13_tens,A13 이닝 x 점수차,0.75,2022,2024,all,9,871.981603809191,1.5012865995479387,916.5681744964904,820.9547937182093,cw_v17_base,51.02681009098171,
a13_tens,A13 이닝 x 점수차,1.0,2022,2024,all,9,870.9379686339336,0.457651424290475,921.7770642602985,820.9547937182093,cw_v17_base,49.98317491572425,
(전역),(전역 가중 하나),0.0,2022,2024,R,1,883.9234880612335,0.0,935.0640138745314,842.5847631795435,cw_v17_base,41.33872488168993,0.063 0.000 0.638 0.299
a1_count,A1 볼카운트,0.0,2022,2024,R,12,883.9234880612335,0.0,883.9234880612335,842.5847631795435,cw_v17_base,41.33872488168993,
a1_count,A1 볼카운트,0.25,2022,2024,R,12,885.7589209221973,1.835432860963806,906.8482585671611,842.5847631795435,cw_v17_base,43.17415774265373,
a1_count,A1 볼카운트,0.5,2022,2024,R,12,886.5139817433753,2.5904936821418687,924.322760794638,842.5847631795435,cw_v17_base,43.929218563831796,
a1_count,A1 볼카운트,0.75,2022,2024,R,12,886.1886705247679,2.2651824635344155,936.346994743753,842.5847631795435,cw_v17_base,43.60390734522434,
a1_count,A1 볼카운트,1.0,2022,2024,R,12,884.7829872663305,0.859499205096995,942.9209604143729,842.5847631795435,cw_v17_base,42.19822408678692,
a1b_phase,A1b 카운트 국면,0.0,2022,2024,R,7,883.9234880612335,0.0,883.9234880612335,842.5847631795435,cw_v17_base,41.33872488168993,
a1b_phase,A1b 카운트 국면,0.25,2022,2024,R,7,885.6600346110133,1.7365465497798596,906.9925651604805,842.5847631795435,cw_v17_base,43.07527143146979,
a1b_phase,A1b 카운트 국면,0.5,2022,2024,R,7,886.3686667073489,2.445178646115437,924.4845872871776,842.5847631795435,cw_v17_base,43.783903527805364,
a1b_phase,A1b 카운트 국면,0.75,2022,2024,R,7,886.0493843502514,2.1258962890179873,936.3995544413694,842.5847631795435,cw_v17_base,43.464621170707915,
a1b_phase,A1b 카운트 국면,1.0,2022,2024,R,7,884.7021875397543,0.7786994785208208,942.7374666229671,842.5847631795435,cw_v17_base,42.11742436021075,
a2_li,A2 경기 중요도 li,0.0,2022,2024,R,6,883.9234880612335,0.0,883.9234880612335,842.5847631795435,cw_v17_base,41.33872488168993,
a2_li,A2 경기 중요도 li,0.25,2022,2024,R,6,886.3694578408965,2.4459697796630735,906.2953193407109,842.5847631795435,cw_v17_base,43.784694661353,
a2_li,A2 경기 중요도 li,0.5,2022,2024,R,6,887.8179178992807,3.8944298380472446,922.8260425119039,842.5847631795435,cw_v17_base,45.23315471973717,
a2_li,A2 경기 중요도 li,0.75,2022,2024,R,6,888.2688682363415,4.345380175108062,933.5156575747905,842.5847631795435,cw_v17_base,45.68410505679799,
a2_li,A2 경기 중요도 li,1.0,2022,2024,R,6,887.7223088521014,3.7988207908679215,938.3641645293151,842.5847631795435,cw_v17_base,45.13754567255785,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.0,2022,2024,R,8,883.9234880612335,0.0,883.9234880612335,842.5847631795435,cw_v17_base,41.33872488168993,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.25,2022,2024,R,8,885.9906189507494,2.0671308895159655,905.8874349397894,842.5847631795435,cw_v17_base,43.40585577120589,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.5,2022,2024,R,8,887.6191054447702,3.695617383536728,922.2401754491627,842.5847631795435,cw_v17_base,45.034342265226655,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.75,2022,2024,R,8,888.8089475432959,4.8854594820624015,932.9817095892756,842.5847631795435,cw_v17_base,46.22418436375233,
a3_load,A3 전시즌 경기당 대비 등판 투구수,1.0,2022,2024,R,8,889.5601452463264,5.636657185092986,938.1120373601282,842.5847631795435,cw_v17_base,46.97538206678291,
a3b_gp,A3b 등판 내 투구수,0.0,2022,2024,R,6,883.9234880612335,0.0,883.9234880612335,842.5847631795435,cw_v17_base,41.33872488168993,
a3b_gp,A3b 등판 내 투구수,0.25,2022,2024,R,6,885.9172614417488,1.9937733805153357,906.7921786845012,842.5847631795435,cw_v17_base,43.33249826220526,
a3b_gp,A3b 등판 내 투구수,0.5,2022,2024,R,6,887.3492036504782,3.42571558924476,923.5298087452715,842.5847631795435,cw_v17_base,44.76444047093469,
a3b_gp,A3b 등판 내 투구수,0.75,2022,2024,R,6,888.2193146873662,4.2958266261327935,934.1363782435552,842.5847631795435,cw_v17_base,45.63455150782272,
a3b_gp,A3b 등판 내 투구수,1.0,2022,2024,R,6,888.5275945524573,4.604106491223888,938.6118871793082,842.5847631795435,cw_v17_base,45.942831372913815,
a4_prevp,A4 전시즌 투구수,0.0,2022,2024,R,7,883.9234880612335,0.0,883.9234880612335,842.5847631795435,cw_v17_base,41.33872488168993,
a4_prevp,A4 전시즌 투구수,0.25,2022,2024,R,7,887.0738373847443,3.1503493235107953,905.979120187339,842.5847631795435,cw_v17_base,44.48907420520072,
a4_prevp,A4 전시즌 투구수,0.5,2022,2024,R,7,888.8807593896653,4.95727132843183,922.6342847792779,842.5847631795435,cw_v17_base,46.29599621012176,
a4_prevp,A4 전시즌 투구수,0.75,2022,2024,R,7,889.3442540760522,5.420766014818696,933.8889818370388,842.5847631795435,cw_v17_base,46.75949089650862,
a4_prevp,A4 전시즌 투구수,1.0,2022,2024,R,7,888.4643214438603,4.540833382626829,939.7432113606664,842.5847631795435,cw_v17_base,45.879558264316756,
a5_asofn,A5 투수 누적 이력,0.0,2022,2024,R,6,883.9234880612335,0.0,883.9234880612335,842.5847631795435,cw_v17_base,41.33872488168993,
a5_asofn,A5 투수 누적 이력,0.25,2022,2024,R,6,882.531136610376,-1.3923514508574044,906.0826867674954,842.5847631795435,cw_v17_base,39.94637343083252,
