model,season,scope,axis,axis_title,bin,n,share,rate,pred_mean,bias,auc,brier,bss_local,deficit,shift_gain_self
sj_cb_ft_fonly,2022,all,a1b_phase,A1b 카운트 국면,초구 0-0,64084,0.2589545483933536,0.5315991511141627,0.5301356456054812,-0.001463505508681462,0.5821849580587027,0.2429005253460497,2450.1733758344635,25244.535654278003,0.22260127912436356
sj_cb_ft_fonly,2022,all,a1b_phase,A1b 카운트 국면,투수우위 0-1,31161,0.12591727548975237,0.5402265652578544,0.534297804417276,-0.005928760840578362,0.5777883910271798,0.2430401072860182,2150.6067100217074,12282.270431236268,1.7763501243940991
sj_cb_ft_fonly,2022,all,a1b_phase,A1b 카운트 국면,평행 1-1,25225,0.10193072347578716,0.5361744301288405,0.5305855939935081,-0.005588836135332342,0.5824293094459453,0.24259160491246923,2452.760904588058,9924.217264989784,1.2778010726659856
sj_cb_ft_fonly,2022,all,a1b_phase,A1b 카운트 국면,타자우위 1-0/2-0/2-1,47207,0.19075693411779918,0.5275488804626433,0.5283576409866093,0.0008087605239660567,0.5934166709648078,0.2416664432365134,3039.0722834761964,18501.71867830789,0.0500766897514212
sj_cb_ft_fonly,2022,all,a1b_phase,A1b 카운트 국면,2스트라이크,59575,0.2407343052951445,0.5264288711707931,0.5243692711513794,-0.002059600019413632,0.5709678277488317,0.24443014250806513,1954.0082879533793,23616.097485050446,0.4098445330764471
sj_cb_ft_fonly,2022,all,a1b_phase,A1b 카운트 국면,3볼,8414,0.03399980603866296,0.5084383170905633,0.5120368148515283,0.0035984977609649915,0.5927954570322002,0.2411434527329824,3515.1380130338694,3290.5409774693903,0.17669908563299289
sj_cb_ft_fonly,2022,all,a1b_phase,A1b 카운트 국면,풀카운트,11806,0.04770640718950023,0.5016940538709131,0.5078112439700421,0.006117190099128922,0.5835084731933919,0.2433381655046405,2663.6164471199986,4659.10319086859,0.7164667719547341
sj_cb_ft_fonly,2022,all,a2_li,A2 경기 중요도 li,li<0.10,23302,0.09416014741061615,0.5094841644494035,0.5146542776611771,0.00517011321177363,0.5804425316528831,0.2432517295262728,2664.2870431902056,9192.601960963582,1.010142456541368
sj_cb_ft_fonly,2022,all,a2_li,A2 경기 중요도 li,0.10-0.35,28588,0.11552013965216267,0.5273891143136981,0.5228311058373787,-0.004558008476319375,0.5904923644444149,0.24180951972857065,2985.0838802916614,11211.055145053435,0.9632152530821281
sj_cb_ft_fonly,2022,all,a2_li,A2 경기 중요도 li,0.35-0.70,54527,0.22033603801642207,0.5305261613512572,0.5283449943622828,-0.0021811669889744145,0.5779308472807895,0.24339691476629302,2276.9826763401115,21523.653597350105,0.42070604988690213
sj_cb_ft_fonly,2022,all,a2_li,A2 경기 중요도 li,0.70-1.20,66871,0.2702164285252473,0.5329814119723049,0.5298115007096063,-0.0031699112626986103,0.5815969499736867,0.24292124467021745,2406.8652147766657,26344.66232397602,1.0897361259297795
sj_cb_ft_fonly,2022,all,a2_li,A2 경기 중요도 li,1.20-2.00,47904,0.1935734143660697,0.5329617568470274,0.5311449783573815,-0.0018167784896458983,0.5826645754013563,0.24301098763352413,2371.3195212222595,18879.34879110682,0.2564277714794346
sj_cb_ft_fonly,2022,all,a2_li,A2 경기 중요도 li,li>=2.00,26280,0.10619383202948213,0.5267884322678843,0.5277866420003045,0.0009982097324201522,0.5815974902160721,0.2432457144420992,2421.6173870905022,10367.161863750414,0.04246765509204915
