model,eval,fit,axis,axis_title,bin,n_eval,shift_xfer,logit_xfer,bias_fit,bias_eval,c,b
ye_hand,2024,2022,a4_prevp,A4 전시즌 투구수,1-200,12654,24.044482635144487,15.419074961145787,0.025763707424478755,0.03347756835541871,-0.025763707424478755,0.27693290435835516
ye_hand,2024,2022,a4_prevp,A4 전시즌 투구수,201-600,24568,9.434926497521534,16.28183597247781,0.020930948763814516,0.015589100384371835,-0.020930948763814516,0.6679802951444319
ye_hand,2024,2022,a4_prevp,A4 전시즌 투구수,601-1200,65402,2.4515463161526223,-5.700572522004632,0.003371378104571443,0.004790529084101103,-0.003371378104571443,0.8133457835916045
ye_hand,2024,2022,a4_prevp,A4 전시즌 투구수,1201-2000,27214,6.149118471022524,5.074464995773315,0.010751733841117939,0.011244535616382167,-0.010751733841117939,0.798651034044088
ye_hand,2024,2022,a4_prevp,A4 전시즌 투구수,2001-2600,23868,0.5067641467742755,-6.900828210240575,0.0009844642856113306,0.0065148804680879024,-0.0009844642856113306,0.7980935864003701
ye_hand,2024,2022,a4_prevp,A4 전시즌 투구수,2601+,19676,-14.448072201768644,-13.706447639059666,-0.01549917678062529,0.005480479584062503,0.01549917678062529,1.2304337328011408
ye_hand,2024,2022,a5_asofn,A5 투수 누적 이력,0-99,3959,3.777703569296018,2.2779284051058846,0.031202204263394206,0.024141040118440704,-0.031202204263394206,0.7123262311598454
ye_hand,2024,2022,a5_asofn,A5 투수 누적 이력,100-499,17177,6.994646262135253,3.2426495644979134,0.015213661518977906,0.01508133355389324,-0.015213661518977906,0.6559920962858592
ye_hand,2024,2022,a5_asofn,A5 투수 누적 이력,500-1499,39741,11.39387084191165,-14.701899623800836,0.013720421679036143,0.012695503736608493,-0.013720421679036143,0.5964582418737345
ye_hand,2024,2022,a5_asofn,A5 투수 누적 이력,1500-3999,72150,9.150448084866822,-0.44245994841377834,0.00670768888311557,0.008633805664220784,-0.00670768888311557,0.8391036386591842
ye_hand,2024,2022,a5_asofn,A5 투수 누적 이력,4000-7999,51095,2.428413921253895,2.539763106763098,0.0012649433540521393,0.011124775326385117,-0.0012649433540521393,1.043349093377171
ye_hand,2024,2022,a5_asofn,A5 투수 누적 이력,8000+,39375,-3.895328963103494,-3.8511670634355397,-0.004348444107834082,0.0041789014615147835,0.004348444107834082,1.0128114140372286
ye_hand,2024,2022,a6_psucc,A6 투수 수준 5분위,Q1 최저,54380,6.670628439424164,6.3568148830322135,0.008151499122478867,0.008278055618479552,-0.008151499122478867,0.9101271146690411
ye_hand,2024,2022,a6_psucc,A6 투수 수준 5분위,Q2,52532,5.803052058491655,-2.1539233252247985,0.012339838967085237,0.008669808086836595,-0.012339838967085237,0.4960608306469555
ye_hand,2024,2022,a6_psucc,A6 투수 수준 5분위,Q3,48603,10.495302845441328,-23.89041384421507,0.005288223822997318,0.01404712670373054,-0.005288223822997318,0.43196764926204084
ye_hand,2024,2022,a6_psucc,A6 투수 수준 5분위,Q4,40380,0.8829051267472309,-11.634453940562317,0.0007499880995400776,0.008516241772103084,-0.0007499880995400776,0.5225593146931127
ye_hand,2024,2022,a6_psucc,A6 투수 수준 5분위,Q5 최고,27565,5.083557629419945,-26.546747013601497,0.009658447531694203,0.01016134539593827,-0.009658447531694203,0.44813843221095506
ye_hand,2024,2022,a7_inning,A7 이닝,1-3회,75125,6.925356581134615,-6.571219356985264,0.0051948186409838115,0.007552879675604918,-0.0051948186409838115,0.8384378135777616
