model,eval,axis,axis_title,shift_xfer,logit_xfer,shift_xfer_glob,logit_xfer_glob,shift_net,logit_net
sj_grid_w060,2022,a4_prevp,A4 전시즌 투구수,-0.08064856757945613,-9.534362637882843,0.5904136482539802,0.3098459271632611,-0.6710622158334364,-9.844208565046104
sj_grid_w060,2022,a5_asofn,A5 투수 누적 이력,-2.3929297468588877,-11.406186167863032,0.5904136482539802,0.3098459271632611,-2.983343395112868,-11.716032095026293
sj_grid_w060,2022,a6_psucc,A6 투수 수준 5분위,-6.747670976943537,-13.169972598045563,0.5904136482539802,0.3098459271632611,-7.338084625197517,-13.479818525208824
sj_grid_w060,2022,a7_inning,A7 이닝,-1.2776716723772874,-7.913964600983073,0.5904136482539802,0.3098459271632611,-1.8680853206312675,-8.223810528146334
sj_grid_w060,2022,a8_hand,A8 손 매치업,-2.0184962384596963,-12.273822589911946,0.5904136482539802,0.3098459271632611,-2.6089098867136764,-12.583668517075207
sj_grid_w060,2022,a9_batn,A9 타자 누적 이력,-4.624936498037335,-5.059474596240535,0.5904136482539802,0.3098459271632611,-5.215350146291315,-5.369320523403796
sj_grid_w060,2024,a10_base,A10 주자 상황,1.9901895841192516,3.3273455488496992,-0.5432752786217419,-1.0229573365187832,2.5334648627409937,4.350302885368483
sj_grid_w060,2024,a11_typemo,A11 game_type x 월블록,-2.1437928087327593,6.227326465340687,-0.5432752786217419,-1.0229573365187832,-1.6005175301110175,7.25028380185947
sj_grid_w060,2024,a12_role,A12 투수 역할(전시즌),-5.355354294025071,-6.414603521841647,-0.5432752786217419,-1.0229573365187832,-4.812079015403329,-5.391646185322863
sj_grid_w060,2024,a13_tens,A13 이닝 x 점수차,-5.238916652305966,-16.258410202310277,-0.5432752786217419,-1.0229573365187832,-4.695641373684224,-15.235452865791494
sj_grid_w060,2024,a1_count,A1 볼카운트,-3.75814492947752,-12.007611455427108,-0.5432752786217419,-1.0229573365187832,-3.2148696508557784,-10.984654118908326
sj_grid_w060,2024,a1b_phase,A1b 카운트 국면,-4.047525075028186,-7.381163206397397,-0.5432752786217419,-1.0229573365187832,-3.5042497964064436,-6.3582058698786135
sj_grid_w060,2024,a2_li,A2 경기 중요도 li,-4.093667573629317,-12.363995651730617,-0.5432752786217419,-1.0229573365187832,-3.5503922950075752,-11.341038315211835
sj_grid_w060,2024,a3_load,A3 전시즌 경기당 대비 등판 투구수,-4.083921164699093,-4.75018056161918,-0.5432752786217419,-1.0229573365187832,-3.5406458860773506,-3.7272232251003965
sj_grid_w060,2024,a3b_gp,A3b 등판 내 투구수,-1.7374152087781838,-3.0279765223391815,-0.5432752786217419,-1.0229573365187832,-1.194139930156442,-2.005019185820398
sj_grid_w060,2024,a4_prevp,A4 전시즌 투구수,-1.400240771263917,-9.067461319662318,-0.5432752786217419,-1.0229573365187832,-0.8569654926421753,-8.044503983143535
sj_grid_w060,2024,a5_asofn,A5 투수 누적 이력,-3.28634018197906,-9.654189298667438,-0.5432752786217419,-1.0229573365187832,-2.7430649033573182,-8.631231962148656
sj_grid_w060,2024,a6_psucc,A6 투수 수준 5분위,-8.897649208608092,-10.442372894550772,-0.5432752786217419,-1.0229573365187832,-8.35437392998635,-9.41941555803199
sj_grid_w060,2024,a7_inning,A7 이닝,-6.833426487692137,-11.877349873560108,-0.5432752786217419,-1.0229573365187832,-6.290151209070395,-10.854392537041326
sj_grid_w060,2024,a8_hand,A8 손 매치업,1.9998258876658999,-4.5535279637138,-0.5432752786217419,-1.0229573365187832,2.5431011662876415,-3.530570627195017
sj_grid_w060,2024,a9_batn,A9 타자 누적 이력,-2.501355065862293,-4.086151390524321,-0.5432752786217419,-1.0229573365187832,-1.9580797872405513,-3.063194054005538
sj_stdmlp,2022,a10_base,A10 주자 상황,35.853163637864874,34.08016125007802,33.73490697735277,33.008301228242274,2.1182566605121025,1.0718600218357466
sj_stdmlp,2022,a11_typemo,A11 game_type x 월블록,41.854766498647386,45.17513876407231,33.73490697735277,33.008301228242274,8.119859521294615,12.166837535830034
sj_stdmlp,2022,a12_role,A12 투수 역할(전시즌),30.406592777856766,25.324279646781285,33.73490697735277,33.008301228242274,-3.328314199496006,-7.684021581460989
sj_stdmlp,2022,a13_tens,A13 이닝 x 점수차,27.422716737145286,18.216353098778434,33.73490697735277,33.008301228242274,-6.312190240207485,-14.79194812946384
sj_stdmlp,2022,a1_count,A1 볼카운트,23.140114290326107,10.492435000981233,33.73490697735277,33.008301228242274,-10.594792687026665,-22.515866227261043
sj_stdmlp,2022,a1b_phase,A1b 카운트 국면,23.499009114468205,14.87598764504234,33.73490697735277,33.008301228242274,-10.235897862884567,-18.132313583199934
sj_stdmlp,2022,a2_li,A2 경기 중요도 li,27.997614295372642,22.071227017739677,33.73490697735277,33.008301228242274,-5.737292681980129,-10.937074210502598
sj_stdmlp,2022,a3_load,A3 전시즌 경기당 대비 등판 투구수,26.63365535035197,19.03208474831174,33.73490697735277,33.008301228242274,-7.101251627000803,-13.976216479930535
sj_stdmlp,2022,a3b_gp,A3b 등판 내 투구수,30.57744795602884,28.023897805886918,33.73490697735277,33.008301228242274,-3.1574590213239304,-4.984403422355356
sj_stdmlp,2022,a4_prevp,A4 전시즌 투구수,29.889683810996868,27.798061624817024,33.73490697735277,33.008301228242274,-3.845223166355904,-5.210239603425251
sj_stdmlp,2022,a5_asofn,A5 투수 누적 이력,29.935643470138263,27.288804103097842,33.73490697735277,33.008301228242274,-3.7992635072145085,-5.719497125144432
sj_stdmlp,2022,a6_psucc,A6 투수 수준 5분위,21.090927560646186,18.134615795043413,33.73490697735277,33.008301228242274,-12.643979416706586,-14.873685433198862
sj_stdmlp,2022,a7_inning,A7 이닝,31.686714615930192,26.028988815305304,33.73490697735277,33.008301228242274,-2.048192361422579,-6.97931241293697
