axis,axis_title,lam,fit,eval,scope,n_bins,bss,delta,bss_self,w
a2_li,A2 경기 중요도 li,0.75,2022,2024,R,6,874.3527430081443,1.387651921591555,942.4889598684816,
a2_li,A2 경기 중요도 li,1.0,2022,2024,R,6,873.9594471324219,0.9943560458691536,949.8019862265838,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.0,2022,2024,R,8,872.9650910865528,0.0,872.9650910865528,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.25,2022,2024,R,8,875.0963391868427,2.131248100289895,904.17493930669,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.5,2022,2024,R,8,876.9124689313346,3.9473778447818404,928.0448881501924,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.75,2022,2024,R,8,878.4134803200949,5.448389233542116,944.5749376169932,
a3_load,A3 전시즌 경기당 대비 등판 투구수,1.0,2022,2024,R,8,879.5993733530238,6.634282266471018,953.7650877071591,
a3b_gp,A3b 등판 내 투구수,0.0,2022,2024,R,6,872.9650910865528,0.0,872.9650910865528,
a3b_gp,A3b 등판 내 투구수,0.25,2022,2024,R,6,874.2059790931345,1.240888006581713,901.9562023349637,
a3b_gp,A3b 등판 내 투구수,0.5,2022,2024,R,6,875.0749616368458,2.109870550293067,923.8191085081837,
a3b_gp,A3b 등판 내 투구수,0.75,2022,2024,R,6,875.5720387176535,2.606947631100752,938.553809606224,
a3b_gp,A3b 등판 내 투구수,1.0,2022,2024,R,6,875.6972103355465,2.7321192489937403,946.1603056291513,
a4_prevp,A4 전시즌 투구수,0.0,2022,2024,R,7,872.9650910865528,0.0,872.9650910865528,
a4_prevp,A4 전시즌 투구수,0.25,2022,2024,R,7,877.5047870755448,4.53969598899198,905.1030887433197,
a4_prevp,A4 전시즌 투구수,0.5,2022,2024,R,7,880.9171620624002,7.952070975847391,929.5435208343083,
a4_prevp,A4 전시즌 투구수,0.75,2022,2024,R,7,883.2022160471408,10.237124960588062,946.2863873595073,
a4_prevp,A4 전시즌 투구수,1.0,2022,2024,R,7,884.3599490297449,11.394857943192164,955.3316883189167,
a5_asofn,A5 투수 누적 이력,0.0,2022,2024,R,6,872.9650910865528,0.0,872.9650910865528,
a5_asofn,A5 투수 누적 이력,0.25,2022,2024,R,6,873.0177199386846,0.05262885213187474,902.3803912394657,
a5_asofn,A5 투수 누적 이력,0.5,2022,2024,R,6,872.6339951715345,-0.3310959150182953,924.4250412225541,
a5_asofn,A5 투수 누적 이력,0.75,2022,2024,R,6,871.8139167850247,-1.1511743015280445,939.0990410357958,
a5_asofn,A5 투수 누적 이력,1.0,2022,2024,R,6,870.5574847792997,-2.407606307253104,946.402390679213,
a6_psucc,A6 투수 수준 5분위,0.0,2022,2024,R,5,872.9650910865528,0.0,872.9650910865528,
a6_psucc,A6 투수 수준 5분위,0.25,2022,2024,R,5,874.2124857678779,1.2473946813250905,901.919721716804,
a6_psucc,A6 투수 수준 5분위,0.5,2022,2024,R,5,874.8369502418751,1.8718591553223405,923.3974117172861,
a6_psucc,A6 투수 수준 5분위,0.75,2022,2024,R,5,874.8384845086221,1.8733934220692845,937.3981610879766,
a6_psucc,A6 투수 수준 5분위,1.0,2022,2024,R,5,874.2170885681411,1.2519974815883188,943.9219698290091,
a7_inning,A7 이닝,0.0,2022,2024,R,4,872.9650910865528,0.0,872.9650910865528,
a7_inning,A7 이닝,0.25,2022,2024,R,4,873.5408762528873,0.5757851663345264,902.3810020481471,
a7_inning,A7 이닝,0.5,2022,2024,R,4,873.6866938701904,0.7216027836376497,924.2531576229562,
a7_inning,A7 이닝,0.75,2022,2024,R,4,873.4025439383952,0.43745285184240856,938.5815578108914,
a7_inning,A7 이닝,1.0,2022,2024,R,4,872.6884264575019,-0.2766646290508561,945.3662026120523,
a8_hand,A8 손 매치업,0.0,2022,2024,R,4,872.9650910865528,0.0,872.9650910865528,
a8_hand,A8 손 매치업,0.25,2022,2024,R,4,873.9956822940931,1.030591207540283,901.3870169898186,
a8_hand,A8 손 매치업,0.5,2022,2024,R,4,874.9237694884893,1.9586784019364814,922.7074415829595,
a8_hand,A8 손 매치업,0.75,2022,2024,R,4,875.7493526697524,2.7842615831996227,936.9263648659643,
a8_hand,A8 손 매치업,1.0,2022,2024,R,4,876.4724318378713,3.5073407513185657,944.043786838833,
a9_batn,A9 타자 누적 이력,0.0,2022,2024,R,5,872.9650910865528,0.0,872.9650910865528,
a9_batn,A9 타자 누적 이력,0.25,2022,2024,R,5,873.8260668100572,0.8609757235044526,900.9161995955251,
a9_batn,A9 타자 누적 이력,0.5,2022,2024,R,5,874.552848383936,1.5877572973831775,921.5414305249636,
a9_batn,A9 타자 누적 이력,0.75,2022,2024,R,5,875.145435808189,2.1803447216361747,934.840783874924,
a9_batn,A9 타자 누적 이력,1.0,2022,2024,R,5,875.6038290828716,2.6387379963188096,940.8142596453284,
a10_base,A10 주자 상황,0.0,2022,2024,R,8,872.9650910865528,0.0,872.9650910865528,
a10_base,A10 주자 상황,0.25,2022,2024,R,8,874.2528093781954,1.2877182916425909,902.7911461343297,
a10_base,A10 주자 상황,0.5,2022,2024,R,8,875.0148768771115,2.049785790558758,925.2092666183986,
a10_base,A10 주자 상황,0.75,2022,2024,R,8,875.2512935832013,2.2862024966485706,940.2194525387042,
a10_base,A10 주자 상황,1.0,2022,2024,R,8,874.9620594964869,1.9969684099340839,947.8217038953129,
a11_typemo,A11 game_type x 월블록,0.0,2022,2024,R,3,872.9650910865528,0.0,872.9650910865528,
a11_typemo,A11 game_type x 월블록,0.25,2022,2024,R,3,875.725692219298,2.7606011327452507,901.5441689173342,
a11_typemo,A11 game_type x 월블록,0.5,2022,2024,R,3,877.8631452498354,4.898054163282609,922.7212635016801,
a11_typemo,A11 game_type x 월블록,0.75,2022,2024,R,3,879.3774501781315,6.4123590915787645,936.4963748396682,
a11_typemo,A11 game_type x 월블록,1.0,2022,2024,R,3,880.2686070042643,7.303515917711479,942.8695029312096,
a12_role,A12 투수 역할(전시즌),0.0,2022,2024,R,4,872.9650910865528,0.0,872.9650910865528,
a12_role,A12 투수 역할(전시즌),0.25,2022,2024,R,4,873.7150546465067,0.749963559953926,903.1438711979533,
a12_role,A12 투수 역할(전시즌),0.5,2022,2024,R,4,874.2127021296286,1.2476110430758354,926.0883271023923,
a12_role,A12 투수 역할(전시즌),0.75,2022,2024,R,4,874.4580335359409,1.4929424493881243,941.7984587998918,
a12_role,A12 투수 역할(전시즌),1.0,2022,2024,R,4,874.4510488653989,1.4859577788461138,950.2742662903962,
a13_tens,A13 이닝 x 점수차,0.0,2022,2024,R,9,872.9650910865528,0.0,872.9650910865528,
a13_tens,A13 이닝 x 점수차,0.25,2022,2024,R,9,876.08117404675,3.116082960197218,903.577124277366,
a13_tens,A13 이닝 x 점수차,0.5,2022,2024,R,9,878.5983440925737,5.6332530060209365,926.7909983003642,
a13_tens,A13 이닝 x 점수차,0.75,2022,2024,R,9,880.5166012239906,7.551510137437845,942.6067131556138,
a13_tens,A13 이닝 x 점수차,1.0,2022,2024,R,9,881.835945441034,8.870854354481253,951.024268843037,
(전역),(전역 가중 하나),0.0,2024,2022,all,1,2380.2559005979274,0.0,2500.964970803665,0.785 0.000 0.157 0.058
a1_count,A1 볼카운트,0.0,2024,2022,all,12,2380.2559005979274,0.0,2380.2559005979274,
a1_count,A1 볼카운트,0.25,2024,2022,all,12,2384.368580266083,4.112679668155579,2432.99589937197,
a1_count,A1 볼카운트,0.5,2024,2022,all,12,2386.530605169035,6.274704571107577,2471.8062986705313,
a1_count,A1 볼카운트,0.75,2024,2022,all,12,2386.7419753067165,6.486074708789147,2496.687098493577,
a1_count,A1 볼카운트,1.0,2024,2022,all,12,2385.002690679183,4.746790081255767,2507.6382988411415,
a1b_phase,A1b 카운트 국면,0.0,2024,2022,all,7,2380.2559005979274,0.0,2380.2559005979274,
a1b_phase,A1b 카운트 국면,0.25,2024,2022,all,7,2384.031493032612,3.775592434684768,2432.4134295248377,
a1b_phase,A1b 카운트 국면,0.5,2024,2022,all,7,2386.253687272788,5.997786674860436,2470.4483821383237,
a1b_phase,A1b 카운트 국면,0.75,2024,2022,all,7,2386.9224833183766,6.666582720449242,2494.360758438441,
a1b_phase,A1b 카운트 국면,1.0,2024,2022,all,7,2386.0378811693563,5.781980571428903,2504.1505584251113,
a2_li,A2 경기 중요도 li,0.0,2024,2022,all,6,2380.2559005979274,0.0,2380.2559005979274,
a2_li,A2 경기 중요도 li,0.25,2024,2022,all,6,2380.1206421321663,-0.135258465761126,2432.8081564207737,
a2_li,A2 경기 중요도 li,0.5,2024,2022,all,6,2379.283782910857,-0.9721176870702948,2470.987296689464,
a2_li,A2 경기 중요도 li,0.75,2024,2022,all,6,2377.745322934011,-2.5105776639165924,2494.7933214038985,
a2_li,A2 경기 중요도 li,1.0,2024,2022,all,6,2375.505262201516,-4.750638396411432,2504.226230564244,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.0,2024,2022,all,8,2380.2559005979274,0.0,2380.2559005979274,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.25,2024,2022,all,8,2382.2953596870034,2.03945908907599,2432.3022326920072,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.5,2024,2022,all,8,2383.237490453649,2.9815898557217224,2470.0499450233115,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.75,2024,2022,all,8,2383.0822928978314,2.8263922999040005,2493.4990375919397,
a3_load,A3 전시즌 경기당 대비 등판 투구수,1.0,2024,2022,all,8,2381.8297670195498,1.5738664216223697,2502.649510397792,
a3b_gp,A3b 등판 내 투구수,0.0,2024,2022,all,6,2380.2559005979274,0.0,2380.2559005979274,
