combo,n_features,bss_raw,bss_centered,offset,src,d_centered,d_per_100feat
rate_geometry+trackman_compact,245,774.9915038057109,803.7818910988426,0.008480588523112731,fit 56s,-8.261483697546964,-3.372034162264067
ordinal_numeric+rate_geometry,290,773.0220892982254,802.6632823702639,0.00860498422237338,fit 53s,-9.380092426125657,-3.2345146296985026
component_compact+temporal_cyclic,276,758.7343337942754,801.6953232469426,0.010359513861957326,fit 56s,-10.34805154944695,-3.7492940396546923
id_frequency+no_component+trackman_quality,242,769.5697044270977,792.3936243365737,0.007550876299562137,fit 39s,-19.64975045981589,-8.119731594965245
id_frequency+no_component+temporal_cyclic+trackman_quality,250,754.8793904195384,791.2376504740304,0.009530238825148196,fit 43s,-20.805724322359197,-8.322289728943678
id_frequency+no_component+rate_geometry+trackman_quality,260,768.0432288651451,790.4522005888759,0.007481922452208578,fit 39s,-21.59117420751363,-8.304297772120627
context_robust+id_frequency+no_component+temporal_cyclic,249,749.6572636459642,789.7623234844887,0.010009256588603743,fit 39s,-22.28105131190091,-8.948213378273458
context_robust+id_frequency+no_component,241,766.135677113533,789.1849043993426,0.007588054185613646,fit 39s,-22.858470397046972,-9.484842488401233
id_frequency+no_component+temporal_cyclic,239,751.195947747374,787.8613633660602,0.00957041001941511,fit 38s,-24.18201143032934,-10.11799641436374
id_frequency+no_component,231,763.6517662760078,786.123352697099,0.007492368079056566,fit 40s,-25.920022099290577,-11.220788787571678
no_component,-1,750.6871536661741,786.0903116710726,0.009404229951827436,cache,-25.95306312531693,
no_component+rate_geometry,245,747.9203698945613,780.7579294853762,0.009057068975988625,fit 56s,-31.285445311013405,-12.769569514699349
no_component+temporal_cyclic,235,735.7777285977418,771.9145860000887,0.009501177448259845,fit 55s,-40.12878879630091,-17.07608033885145
drop_ids,-1,725.4294574097986,754.9846108033443,0.008592486275273925,cache,-57.05876399304532,
drop_ids+rate_geometry,286,723.5150582148964,754.3910618880378,0.00878239123935698,fit 41s,-57.652312908351746,-20.158151366556556
drop_ids+temporal_cyclic,276,705.0510558430423,749.772125034609,0.010569594531496529,fit 41s,-62.27124976178061,-22.562047015137903
